13:35:38,767 INFO  (main) [DefaultTestContextBootstrapper->getDefaultTestExecutionListenerClassNames] Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
13:35:38,842 INFO  (main) [DefaultTestContextBootstrapper->instantiateListeners] Could not instantiate TestExecutionListener [org.springframework.test.context.web.ServletTestExecutionListener]. Specify custom listener classes or make the default listener classes (and their required dependencies) available. Offending class: [javax/servlet/ServletContext]
13:35:38,847 INFO  (main) [DefaultTestContextBootstrapper->getTestExecutionListeners] Using TestExecutionListeners: [org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@7a19b0d0, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@2ca76650, org.springframework.test.context.support.DirtiesContextTestExecutionListener@222e2517, org.springframework.test.context.transaction.TransactionalTestExecutionListener@3851a89, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@17911a2d]
13:35:39,024 INFO  (main) [XmlBeanDefinitionReader->loadBeanDefinitions] Loading XML bean definitions from class path resource [testApplicationContext.xml]
13:35:39,357 INFO  (main) [GenericApplicationContext->prepareRefresh] Refreshing org.springframework.context.support.GenericApplicationContext@599ab0d6: startup date [Sat Sep 10 13:35:39 EDT 2016]; root of context hierarchy
13:35:39,490 INFO  (main) [PropertySourcesPlaceholderConfigurer->loadProperties] Loading properties file from class path resource [testInput.properties]
13:35:39,596 INFO  (main) [EmbeddedDatabaseFactory->initDatabase] Starting embedded database: url='jdbc:hsqldb:mem:dataSource', username='sa'
13:35:40,043 INFO  (main) [ScriptUtils->executeSqlScript] Executing SQL script from class path resource [TestHsqlDataBase/create_test_uefa2016]
13:35:40,050 INFO  (main) [ScriptUtils->executeSqlScript] Executed SQL script from class path resource [TestHsqlDataBase/create_test_uefa2016] in 6 ms.
13:35:40,395 INFO  (main) [DefaultTestContextBootstrapper->getDefaultTestExecutionListenerClassNames] Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
13:35:40,396 INFO  (main) [DefaultTestContextBootstrapper->instantiateListeners] Could not instantiate TestExecutionListener [org.springframework.test.context.web.ServletTestExecutionListener]. Specify custom listener classes or make the default listener classes (and their required dependencies) available. Offending class: [javax/servlet/ServletContext]
13:35:40,397 INFO  (main) [DefaultTestContextBootstrapper->getTestExecutionListeners] Using TestExecutionListeners: [org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@7fef9cd1, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@4c209ef5, org.springframework.test.context.support.DirtiesContextTestExecutionListener@71a40dde, org.springframework.test.context.transaction.TransactionalTestExecutionListener@498aa41b, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@2d1c0e55]
13:35:40,421 INFO  (main) [DefaultTestContextBootstrapper->getDefaultTestExecutionListenerClassNames] Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
13:35:40,423 INFO  (main) [DefaultTestContextBootstrapper->instantiateListeners] Could not instantiate TestExecutionListener [org.springframework.test.context.web.ServletTestExecutionListener]. Specify custom listener classes or make the default listener classes (and their required dependencies) available. Offending class: [javax/servlet/ServletContext]
13:35:40,424 INFO  (main) [DefaultTestContextBootstrapper->getTestExecutionListeners] Using TestExecutionListeners: [org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@7e13a5e9, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@3bf1a4a9, org.springframework.test.context.support.DirtiesContextTestExecutionListener@757171fd, org.springframework.test.context.transaction.TransactionalTestExecutionListener@6af2d547, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@6c905f2b]
13:35:40,472 INFO  (Thread-0) [GenericApplicationContext->doClose] Closing org.springframework.context.support.GenericApplicationContext@599ab0d6: startup date [Sat Sep 10 13:35:39 EDT 2016]; root of context hierarchy
13:35:40,475 INFO  (Thread-0) [EmbeddedDatabaseFactory->shutdownDatabase] Shutting down embedded database: url='jdbc:hsqldb:mem:dataSource'
